"Period","Group","Sender","datetime","Time","ClientTime","Key","action","action_owntype","action_partnertype","exit","repeataction_owntype","repeataction_partnertype"
2,1,"8","2016-04-08 12:06:57.899",1460142417899385600,1460142385032,"action","1",NA,NA,NA,NA,NA
2,1,"8","2016-04-08 12:06:57.900",1460142417899634176,1460142385033,"repeataction_owntype",NA,NA,NA,NA,"1",NA
2,1,"8","2016-04-08 12:06:57.900",1460142417899840000,1460142385033,"repeataction_partnertype",NA,NA,NA,NA,NA,"2"
2,1,"5","2016-04-08 12:06:58.506",1460142418506009088,1460142385648,"exit",NA,NA,NA,"5",NA,NA
2,1,"5","2016-04-08 12:06:58.506",1460142418506218496,1460142385648,"action","1",NA,NA,NA,NA,NA
2,1,"5","2016-04-08 12:06:58.506",1460142418506462720,1460142385648,"repeataction_owntype",NA,NA,NA,NA,"1",NA
2,1,"5","2016-04-08 12:06:58.507",1460142418506659584,1460142385648,"repeataction_partnertype",NA,NA,NA,NA,NA,"1"
2,1,"4","2016-04-08 12:06:59.093",1460142419093106176,1460142386219,"exit",NA,NA,NA,"4",NA,NA
2,1,"4","2016-04-08 12:06:59.093",1460142419093320960,1460142386219,"action","1",NA,NA,NA,NA,NA
2,1,"4","2016-04-08 12:06:59.094",1460142419093568768,1460142386219,"repeataction_owntype",NA,NA,NA,NA,"2",NA
2,1,"4","2016-04-08 12:06:59.094",1460142419093781248,1460142386219,"repeataction_partnertype",NA,NA,NA,NA,NA,"1"
2,1,"7","2016-04-08 12:06:59.512",1460142419512456960,1460142386653,"exit",NA,NA,NA,"7",NA,NA
2,1,"7","2016-04-08 12:06:59.513",1460142419512667392,1460142386653,"action","1",NA,NA,NA,NA,NA
2,1,"7","2016-04-08 12:06:59.513",1460142419512870400,1460142386654,"repeataction_owntype",NA,NA,NA,NA,"1",NA
2,1,"7","2016-04-08 12:06:59.513",1460142419513074944,1460142386654,"repeataction_partnertype",NA,NA,NA,NA,NA,"1"
2,1,"9","2016-04-08 12:07:04.277",1460142424276775680,1460142391417,"action","1",NA,NA,NA,NA,NA
2,1,"9","2016-04-08 12:07:04.277",1460142424276990976,1460142391417,"action_owntype",NA,"2",NA,NA,NA,NA
2,1,"9","2016-04-08 12:07:04.277",1460142424277261568,1460142391417,"action_partnertype",NA,NA,"1",NA,NA,NA
2,1,"10","2016-04-08 12:07:04.733",1460142424733290752,1460142391869,"action","1",NA,NA,NA,NA,NA
2,1,"10","2016-04-08 12:07:04.734",1460142424733501952,1460142391869,"action_owntype",NA,"3",NA,NA,NA,NA
2,1,"10","2016-04-08 12:07:04.734",1460142424733729792,1460142391869,"action_partnertype",NA,NA,"3",NA,NA,NA
2,1,"1","2016-04-08 12:07:05.160",1460142425159728128,1460142392303,"action","1",NA,NA,NA,NA,NA
2,1,"1","2016-04-08 12:07:05.160",1460142425159923968,1460142392303,"action_owntype",NA,"1",NA,NA,NA,NA
2,1,"1","2016-04-08 12:07:05.160",1460142425160155648,1460142392303,"action_partnertype",NA,NA,"2",NA,NA,NA
2,1,"3","2016-04-08 12:07:05.628",1460142425628363520,1460142392766,"action","1",NA,NA,NA,NA,NA
2,1,"3","2016-04-08 12:07:05.629",1460142425628569344,1460142392766,"action_owntype",NA,"3",NA,NA,NA,NA
2,1,"3","2016-04-08 12:07:05.629",1460142425628791040,1460142392766,"action_partnertype",NA,NA,"3",NA,NA,NA
2,1,"12","2016-04-08 12:07:06.146",1460142426145634304,1460142393288,"action","1",NA,NA,NA,NA,NA
2,1,"12","2016-04-08 12:07:06.146",1460142426145961216,1460142393288,"action_owntype",NA,"3",NA,NA,NA,NA
2,1,"12","2016-04-08 12:07:06.146",1460142426146181376,1460142393288,"action_partnertype",NA,NA,"3",NA,NA,NA
2,1,"6","2016-04-08 12:07:06.747",1460142426747285760,1460142393888,"action","1",NA,NA,NA,NA,NA
2,1,"6","2016-04-08 12:07:06.747",1460142426747478016,1460142393888,"action_owntype",NA,"3",NA,NA,NA,NA
2,1,"6","2016-04-08 12:07:06.748",1460142426747708160,1460142393888,"action_partnertype",NA,NA,"3",NA,NA,NA
2,1,"2","2016-04-08 12:07:07.298",1460142427297525760,1460142394438,"action","1",NA,NA,NA,NA,NA
2,1,"2","2016-04-08 12:07:07.298",1460142427297743872,1460142394438,"action_owntype",NA,"1",NA,NA,NA,NA
2,1,"2","2016-04-08 12:07:07.298",1460142427297982208,1460142394438,"action_partnertype",NA,NA,"1",NA,NA,NA
2,1,"11","2016-04-08 12:07:07.925",1460142427924703232,1460142395064,"action","1",NA,NA,NA,NA,NA
2,1,"11","2016-04-08 12:07:07.925",1460142427924929280,1460142395065,"action_owntype",NA,"1",NA,NA,NA,NA
2,1,"11","2016-04-08 12:07:07.925",1460142427925179392,1460142395065,"action_partnertype",NA,NA,"1",NA,NA,NA
2,1,"2","2016-04-08 12:07:08.194",1460142428193629184,1460142395324,"exit",NA,NA,NA,"2",NA,NA
2,1,"6","2016-04-08 12:07:08.194",1460142428193806336,1460142395326,"exit",NA,NA,NA,"6",NA,NA
2,1,"5","2016-04-08 12:07:08.194",1.460142428194e+18,1460142395329,"exit",NA,NA,NA,"5",NA,NA
2,1,"9","2016-04-08 12:07:08.206",1460142428206214400,1460142395346,"exit",NA,NA,NA,"9",NA,NA
2,1,"3","2016-04-08 12:07:08.210",1460142428209561856,1460142395351,"exit",NA,NA,NA,"3",NA,NA
2,1,"8","2016-04-08 12:07:08.210",1460142428209948928,1460142395348,"exit",NA,NA,NA,"8",NA,NA
2,1,"1","2016-04-08 12:07:08.210",1460142428210349824,1460142395350,"exit",NA,NA,NA,"1",NA,NA
2,1,"10","2016-04-08 12:07:08.211",1460142428210590208,1460142395348,"exit",NA,NA,NA,"10",NA,NA
2,1,"7","2016-04-08 12:07:08.215",1.460142428215e+18,1460142395356,"exit",NA,NA,NA,"7",NA,NA
2,1,"12","2016-04-08 12:07:08.215",1460142428215144448,1460142395354,"exit",NA,NA,NA,"12",NA,NA
2,1,"4","2016-04-08 12:07:08.301",1460142428300626432,1460142395429,"exit",NA,NA,NA,"4",NA,NA
2,1,"11","2016-04-08 12:07:08.318",1460142428317503744,1460142395441,"exit",NA,NA,NA,"11",NA,NA
3,1,"1","2016-04-08 12:07:27.519",1460142447519077376,1460142414662,"action","1",NA,NA,NA,NA,NA
3,1,"1","2016-04-08 12:07:27.519",1460142447519323648,1460142414662,"action_owntype",NA,"3",NA,NA,NA,NA
3,1,"1","2016-04-08 12:07:27.520",1460142447519573504,1460142414662,"action_partnertype",NA,NA,"2",NA,NA,NA
3,1,"2","2016-04-08 12:07:28.526",1460142448526080000,1460142415666,"action","1",NA,NA,NA,NA,NA
3,1,"2","2016-04-08 12:07:28.526",1460142448526289664,1460142415667,"action_owntype",NA,"1",NA,NA,NA,NA
3,1,"2","2016-04-08 12:07:28.527",1460142448526514944,1460142415667,"action_partnertype",NA,NA,"1",NA,NA,NA
3,1,"3","2016-04-08 12:07:29.674",1460142449674203136,1460142416817,"action","2",NA,NA,NA,NA,NA
3,1,"3","2016-04-08 12:07:29.674",1460142449674413312,1460142416817,"action_owntype",NA,"1",NA,NA,NA,NA
3,1,"3","2016-04-08 12:07:29.678",1460142449678424576,1460142416817,"action_partnertype",NA,NA,"3",NA,NA,NA
3,1,"4","2016-04-08 12:07:30.877",1460142450876959488,1460142418018,"action","2",NA,NA,NA,NA,NA
3,1,"4","2016-04-08 12:07:30.877",1460142450877174528,1460142418018,"action_owntype",NA,"1",NA,NA,NA,NA
3,1,"4","2016-04-08 12:07:30.877",1460142450877398272,1460142418018,"action_partnertype",NA,NA,"3",NA,NA,NA
3,1,"5","2016-04-08 12:07:31.915",1460142451914747392,1460142419057,"action","1",NA,NA,NA,NA,NA
3,1,"5","2016-04-08 12:07:31.915",1460142451914955264,1460142419057,"action_owntype",NA,"3",NA,NA,NA,NA
3,1,"5","2016-04-08 12:07:31.915",1460142451915179008,1460142419057,"action_partnertype",NA,NA,"1",NA,NA,NA
3,1,"6","2016-04-08 12:07:33.016",1460142453016249600,1460142420158,"action","1",NA,NA,NA,NA,NA
3,1,"6","2016-04-08 12:07:33.017",1460142453016524800,1460142420158,"action_owntype",NA,"2",NA,NA,NA,NA
3,1,"6","2016-04-08 12:07:33.019",1460142453019482112,1460142420158,"action_partnertype",NA,NA,"1",NA,NA,NA
3,1,"7","2016-04-08 12:07:33.977",1460142453976754176,1460142421117,"action","1",NA,NA,NA,NA,NA
3,1,"7","2016-04-08 12:07:33.977",1460142453976977920,1460142421117,"action_owntype",NA,"3",NA,NA,NA,NA
3,1,"7","2016-04-08 12:07:33.977",1460142453977208832,1460142421117,"action_partnertype",NA,NA,"1",NA,NA,NA
3,1,"8","2016-04-08 12:07:35.322",1460142455322202624,1460142422465,"action","1",NA,NA,NA,NA,NA
3,1,"8","2016-04-08 12:07:35.326",1460142455325952000,1460142422465,"action_owntype",NA,"1",NA,NA,NA,NA
3,1,"8","2016-04-08 12:07:35.326",1460142455326146816,1460142422465,"action_partnertype",NA,NA,"2",NA,NA,NA
3,1,"9","2016-04-08 12:07:36.444",1460142456444302592,1460142423587,"action","2",NA,NA,NA,NA,NA
3,1,"9","2016-04-08 12:07:36.445",1460142456444541440,1460142423587,"action_owntype",NA,"2",NA,NA,NA,NA
3,1,"9","2016-04-08 12:07:36.445",1460142456444766208,1460142423587,"action_partnertype",NA,NA,"3",NA,NA,NA
3,1,"10","2016-04-08 12:07:38.978",1460142458978361344,1460142426121,"action","1",NA,NA,NA,NA,NA
3,1,"10","2016-04-08 12:07:38.979",1460142458978567424,1460142426121,"action_owntype",NA,"3",NA,NA,NA,NA
3,1,"10","2016-04-08 12:07:38.982",1460142458982430720,1460142426121,"action_partnertype",NA,NA,"1",NA,NA,NA
3,1,"11","2016-04-08 12:07:40.032",1460142460031781120,1460142427171,"action","1",NA,NA,NA,NA,NA
3,1,"11","2016-04-08 12:07:40.032",1460142460032015104,1460142427171,"action_owntype",NA,"1",NA,NA,NA,NA
3,1,"11","2016-04-08 12:07:40.032",1460142460032256768,1460142427171,"action_partnertype",NA,NA,"1",NA,NA,NA
3,1,"12","2016-04-08 12:07:41.414",1460142461413636608,1460142428555,"action","2",NA,NA,NA,NA,NA
3,1,"12","2016-04-08 12:07:41.414",1460142461413847040,1460142428555,"action_owntype",NA,"1",NA,NA,NA,NA
3,1,"12","2016-04-08 12:07:41.414",1460142461414069248,1460142428555,"action_partnertype",NA,NA,"3",NA,NA,NA
3,1,"2","2016-04-08 12:07:42.527",1460142462527173888,1460142429666,"exit",NA,NA,NA,"2",NA,NA
3,1,"2","2016-04-08 12:07:42.527",1460142462527379712,1460142429666,"action","1",NA,NA,NA,NA,NA
3,1,"2","2016-04-08 12:07:42.531",1460142462531346944,1460142429666,"repeataction_owntype",NA,NA,NA,NA,"1",NA
3,1,"2","2016-04-08 12:07:42.532",1460142462531521280,1460142429666,"repeataction_partnertype",NA,NA,NA,NA,NA,"1"
3,1,"6","2016-04-08 12:07:43.060",1460142463059979520,1460142430201,"exit",NA,NA,NA,"6",NA,NA
3,1,"6","2016-04-08 12:07:43.060",1460142463060197632,1460142430201,"action","1",NA,NA,NA,NA,NA
3,1,"6","2016-04-08 12:07:43.060",1460142463060440320,1460142430201,"repeataction_owntype",NA,NA,NA,NA,"2",NA
3,1,"6","2016-04-08 12:07:43.061",1460142463060631296,1460142430201,"repeataction_partnertype",NA,NA,NA,NA,NA,"1"
3,1,"11","2016-04-08 12:07:43.550",1460142463550424064,1460142430689,"exit",NA,NA,NA,"11",NA,NA
3,1,"11","2016-04-08 12:07:43.551",1460142463550631424,1460142430689,"action","1",NA,NA,NA,NA,NA
3,1,"11","2016-04-08 12:07:43.551",1460142463550870272,1460142430689,"repeataction_owntype",NA,NA,NA,NA,"1",NA
3,1,"11","2016-04-08 12:07:43.551",1460142463551058944,1460142430689,"repeataction_partnertype",NA,NA,NA,NA,NA,"1"
