"Period","Group","Sender","datetime","Time","ClientTime","Key","actions.1","actions.2","action","id","rank","payoff","targets.1","targets.2"
3,1,"2","2016-04-06 11:34:18.993",1459967658992589056,1459967639230,"state",NA,NA,2.7,1,1,180,NA,NA
3,1,"2","2016-04-06 11:34:18.993",1459967658992589056,1459967639230,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:18.993",1459967658992785664,1459967639230,"actions",0,2.4,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:18.993",1459967658992946432,1459967639230,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:19.108",1459967659107684608,1459967639347,"state",NA,NA,3,1,1,200,NA,NA
3,1,"2","2016-04-06 11:34:19.108",1459967659107684608,1459967639347,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:19.108",1459967659107881728,1459967639347,"actions",0,2.7,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:19.108",1459967659108047872,1459967639347,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:19.223",1459967659223092480,1459967639462,"state",NA,NA,3.3,1,1,220,NA,NA
3,1,"2","2016-04-06 11:34:19.223",1459967659223092480,1459967639462,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:19.223",1459967659223293952,1459967639462,"actions",0,3,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:19.223",1459967659223457280,1459967639462,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:19.328",1459967659328101376,1459967639572,"state",NA,NA,3.6,1,1,240,NA,NA
3,1,"2","2016-04-06 11:34:19.328",1459967659328101376,1459967639572,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:19.328",1459967659328339968,1459967639572,"actions",0,3.3,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:19.328",1459967659328484096,1459967639572,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:19.434",1.459967659434e+18,1459967639678,"state",NA,NA,3.9,1,1,260,NA,NA
3,1,"2","2016-04-06 11:34:19.434",1.459967659434e+18,1459967639678,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:19.434",1459967659434241536,1459967639678,"actions",0,3.6,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:19.434",1459967659434428416,1459967639678,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:19.542",1459967659541813760,1459967639784,"state",NA,NA,4.2,1,1,280,NA,NA
3,1,"2","2016-04-06 11:34:19.542",1459967659541813760,1459967639784,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:19.542",1459967659542100480,1459967639784,"actions",0,3.9,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:19.542",1459967659542266624,1459967639784,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:19.646",1459967659645916928,1459967639890,"state",NA,NA,4.5,1,1,300,NA,NA
3,1,"2","2016-04-06 11:34:19.646",1459967659645916928,1459967639890,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:19.646",1459967659646119680,1459967639890,"actions",0,4.2,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:19.646",1459967659646304512,1459967639890,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:19.751",1459967659750847744,1459967639995,"state",NA,NA,4.8,1,1,320,NA,NA
3,1,"2","2016-04-06 11:34:19.751",1459967659750847744,1459967639995,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:19.751",1459967659751038464,1459967639995,"actions",0,4.5,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:19.751",1459967659751211776,1459967639995,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:19.856",1459967659856483328,1459967640100,"state",NA,NA,5.1,1,1,340,NA,NA
3,1,"2","2016-04-06 11:34:19.856",1459967659856483328,1459967640100,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:19.857",1459967659856686592,1459967640100,"actions",0,4.8,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:19.857",1459967659856854272,1459967640100,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:19.961",1459967659961231872,1459967640205,"state",NA,NA,5.4,1,1,360,NA,NA
3,1,"2","2016-04-06 11:34:19.961",1459967659961231872,1459967640205,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:19.961",1459967659961457408,1459967640205,"actions",0,5.1,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:19.962",1459967659961623552,1459967640205,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:20.067",1459967660067203072,1459967640311,"state",NA,NA,5.7,1,1,380,NA,NA
3,1,"2","2016-04-06 11:34:20.067",1459967660067203072,1459967640311,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:20.067",1459967660067404544,1459967640311,"actions",0,5.4,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:20.068",1459967660067565056,1459967640311,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:20.176",1459967660176155648,1459967640414,"state",NA,NA,6,1,1,400,NA,NA
3,1,"2","2016-04-06 11:34:20.176",1459967660176155648,1459967640414,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:20.176",1459967660176349440,1459967640414,"actions",0,5.7,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:20.177",1459967660176514048,1459967640414,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:20.282",1459967660281521920,1459967640515,"state",NA,NA,6.3,1,1,420,NA,NA
3,1,"2","2016-04-06 11:34:20.282",1459967660281521920,1459967640515,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:20.282",1459967660281738496,1459967640515,"actions",0,6,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:20.282",1459967660281901824,1459967640515,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:20.392",1459967660392295936,1459967640631,"state",NA,NA,6.6,1,1,440,NA,NA
3,1,"2","2016-04-06 11:34:20.392",1459967660392295936,1459967640631,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:20.392",1459967660392492544,1459967640631,"actions",0,6.3,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:20.393",1459967660392657408,1459967640631,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:20.508",1459967660508125184,1459967640747,"state",NA,NA,6.9,1,1,460,NA,NA
3,1,"2","2016-04-06 11:34:20.508",1459967660508125184,1459967640747,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:20.508",1459967660508365568,1459967640747,"actions",0,6.6,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:20.509",1459967660508548608,1459967640747,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:20.617",1459967660616736768,1459967640848,"state",NA,NA,7.2,1,1,480,NA,NA
3,1,"2","2016-04-06 11:34:20.617",1459967660616736768,1459967640848,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:20.617",1459967660616954368,1459967640848,"actions",0,6.9,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:20.617",1459967660617124864,1459967640848,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:20.725",1459967660724673536,1459967640964,"state",NA,NA,6.91,1,1,460.666666666667,NA,NA
3,1,"2","2016-04-06 11:34:20.725",1459967660724673536,1459967640964,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:20.725",1459967660724868352,1459967640964,"actions",0,6.91,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:20.725",1459967660725042944,1459967640964,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:20.842",1459967660841882624,1459967641081,"state",NA,NA,6.91,1,1,460.666666666667,NA,NA
3,1,"2","2016-04-06 11:34:20.842",1459967660841882624,1459967641081,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:20.842",1459967660842067200,1459967641081,"actions",0,6.91,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:20.842",1459967660842261760,1459967641081,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:20.959",1459967660958692608,1459967641197,"state",NA,NA,6.91,1,1,460.666666666667,NA,NA
3,1,"2","2016-04-06 11:34:20.959",1459967660958692608,1459967641197,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:20.959",1459967660958905856,1459967641197,"actions",0,6.91,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:20.959",1459967660959069952,1459967641197,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:21.078",1459967661078308096,1459967641316,"state",NA,NA,6.91,1,1,460.666666666667,NA,NA
3,1,"2","2016-04-06 11:34:21.078",1459967661078308096,1459967641316,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:21.078",1459967661078489856,1459967641316,"actions",0,6.91,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:21.079",1459967661078649600,1459967641316,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:21.193",1.459967661193e+18,1459967641430,"state",NA,NA,6.91,1,1,460.666666666667,NA,NA
3,1,"2","2016-04-06 11:34:21.193",1.459967661193e+18,1459967641430,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:21.193",1459967661193188864,1459967641430,"actions",0,6.91,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:21.193",1459967661193348096,1459967641430,"targets",NA,NA,NA,NA,NA,NA,0,6.91
3,1,"2","2016-04-06 11:34:21.310",1459967661309703424,1459967641548,"state",NA,NA,6.91,1,1,460.666666666667,NA,NA
3,1,"2","2016-04-06 11:34:21.310",1459967661309703424,1459967641548,"state",NA,NA,0,0,2,0,NA,NA
3,1,"2","2016-04-06 11:34:21.310",1459967661309906176,1459967641548,"actions",0,6.91,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:21.310",1459967661310072832,1459967641548,"targets",NA,NA,NA,NA,NA,NA,0,6.91
